,Unnamed: 0,MC_frame,rmf_frame_index,Total_Score,XLs_adh,XLs_bs3dss,XLs_dmtmm,XLs_psi_adh,XLs_psi_bs3dss,XLs_psi_dmtmm,CR_sum,EV_sum,GaussianEMRestraint_None,GaussianEMRestraint_None_CCC,GaussianEMRestraint_sigma_None,traj,rmf3_file,XLs_sum,half,cluster,frame_RMF3
233,8612,8612,1247,466.94890304139096,3.51870399623169,333.387844391786,33.5584804248808,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.004105823315207,27.5922579276128,108.733505584573,0.343203949176502,1,run_31,run_31//output//rmfs//7.rmf3,328.876197979302,A,2,h1_run_31_8612.rmf3
237,8666,8666,5575,467.01450388914003,3.42394754884145,342.480424930403,30.810927729236496,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.2808108081057,21.506436327972803,108.22992828787399,0.344914480562872,1,run_3,run_3//output//rmfs//7.rmf3,335.126469374884,A,2,h1_run_3_8666.rmf3
239,8766,8766,5675,467.039616272815,3.56068167559049,337.510119244078,32.3717894901767,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.0,22.942546039773998,108.207070343857,0.345031622489388,1,run_3,run_3//output//rmfs//7.rmf3,331.853759576249,A,2,h1_run_3_8766.rmf3
243,8584,8584,1223,467.169712967549,3.44625275883765,339.134683725918,31.5640504345622,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.01107354904284,21.576508118733603,108.585084441098,0.343741281820502,1,run_31,run_31//output//rmfs//7.rmf3,332.556156085721,A,2,h1_run_31_8584.rmf3
245,8758,8758,5667,467.217329184727,3.1064279422548697,338.202740105812,28.4650334152161,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.224395924435835,27.042655051962104,107.113826184096,0.348821134108419,1,run_3,run_3//output//rmfs//7.rmf3,328.185370629686,A,2,h1_run_3_8758.rmf3
246,9951,9951,5066,467.228135639853,2.90942117611293,333.417632077881,29.6256271875575,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.041048972303093,25.193884059151696,108.931756813865,0.3426803038694461,1,run_22,run_22//output//rmfs//4.rmf3,324.363849607955,A,2,h1_run_22_9951.rmf3
249,9603,9603,4722,467.270559505896,2.05861333389031,336.373548041213,31.9610481036439,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.0,23.4127906673806,108.90454673596201,0.342799501878451,1,run_22,run_22//output//rmfs//4.rmf3,328.80437864515,A,2,h1_run_22_9603.rmf3
252,8519,8519,1166,467.326390526601,3.19602572458049,343.07541276375304,29.230994915622002,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.09037074610067801,21.883970200251603,107.505496471591,0.3475220842262571,1,run_31,run_31//output//rmfs//7.rmf3,333.913602570358,A,2,h1_run_31_8519.rmf3
253,9668,9668,4787,467.328238075923,3.53740596770809,338.766474724236,30.8373475277132,-13.862943611198899,-13.862943611198899,-13.862943611198899,1.2959067778295301,22.137974698579,106.638765553736,0.35066612342287706,1,run_22,run_22//output//rmfs//4.rmf3,331.552397386061,A,2,h1_run_22_9668.rmf3
255,8455,8455,1106,467.34134863684005,3.2779305822174,344.241248342816,28.9320915465456,-13.862943611198899,-13.862943611198899,-13.862943611198899,0.0,20.4047799690141,108.14709799276599,0.345254371464835,1,run_31,run_31//output//rmfs//7.rmf3,334.862439637982,A,2,h1_run_31_8455.rmf3
